Beam	Node	X	Y	Z	track	arch	original
Beam_3_2_3	17004	0.042388	0.11367	0.020845	3	2	134
Beam_3_2_3	16970	0.056619	0.11367	0.019672	3	2	134
Beam_3_2_3	17006	0.056619	0.11367	0.020845	3	2	134
Beam_3_2_3	24917	0.04	0.1148	0.020937	3	2	134
Beam_3_2_3	24920	0.04475	0.1148	0.020937	3	2	134
Beam_3_2_3	24919	0.0495	0.1148	0.020937	3	2	134
Beam_3_2_3	24918	0.05425	0.1148	0.020937	3	2	134
Beam_3_2_3	24916	0.059	0.1148	0.020937	3	2	134
Beam_3_2_4	18307	0.042367	0.11593	0.02216	3	2	188
Beam_3_2_4	18263	0.042367	0.11593	0.021013	3	2	188
Beam_3_2_4	18257	0.056633	0.11593	0.021013	3	2	188
Beam_3_2_4	18309	0.056633	0.11593	0.02216	3	2	188
Beam_3_2_4	18262	0.044748	0.11656	0.021363	3	2	188
Beam_3_2_4	18306	0.044748	0.11656	0.022504	3	2	188
Beam_3_2_4	18310	0.054252	0.11656	0.022504	3	2	188
Beam_3_2_4	18258	0.054252	0.11656	0.021363	3	2	188
Beam_3_2_4	18281	0.041894	0.11681	0.021502	3	2	188
Beam_3_2_4	18293	0.041894	0.11681	0.02264	3	2	188
Beam_3_2_4	18253	0.05711	0.11682	0.021508	3	2	188
Beam_3_2_4	18312	0.05711	0.11682	0.022646	3	2	188
Beam_3_2_4	18261	0.047117	0.11718	0.021704	3	2	188
Beam_3_2_4	18305	0.047117	0.11718	0.022838	3	2	188
Beam_3_2_4	18311	0.051883	0.11718	0.022838	3	2	188
Beam_3_2_4	18259	0.051883	0.11718	0.021704	3	2	188
Beam_3_2_4	18292	0.043796	0.11731	0.022906	3	2	188
Beam_3_2_4	18280	0.043796	0.11731	0.021773	3	2	188
Beam_3_2_4	18254	0.055212	0.11732	0.021778	3	2	188
Beam_3_2_4	18313	0.055212	0.11732	0.022911	3	2	188
Beam_3_2_4	18279	0.045691	0.1178	0.022038	3	2	188
Beam_3_2_4	18291	0.045691	0.1178	0.023166	3	2	188
Beam_3_2_4	18260	0.0495	0.1178	0.022038	3	2	188
Beam_3_2_4	18308	0.0495	0.1178	0.023166	3	2	188
Beam_3_2_4	18255	0.053321	0.11781	0.022042	3	2	188
Beam_3_2_4	18314	0.053321	0.11781	0.02317	3	2	188
Beam_3_2_4	18294	0.047595	0.1183	0.023423	3	2	188
Beam_3_2_4	18278	0.047595	0.1183	0.022299	3	2	188
Beam_3_2_4	18315	0.051422	0.11831	0.023425	3	2	188
Beam_3_2_4	18247	0.051422	0.11831	0.022301	3	2	188
Beam_3_2_4	18277	0.045701	0.1188	0.022553	3	2	188
